Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
Christmas in Conway	2013	TV-PG	97	6.7	1942	TRUE	PG
A Christmas Wish	2019	TV-PG	90	6.2	947	FALSE	PG
Christmas at Graceland	2018	TV-G	85	5.7	1610	TRUE	G
Five Star Christmas	2020	TV-G	84	6.9	2207	TRUE	G
A Glenbrooke Christmas	2020	TV-G	85	6.6	1411	TRUE	G
Santa Games	2022	NA	NA	4.5	116	FALSE	Other
The Holiday Stocking	2022	TV-G	84	6.9	275	FALSE	G
Christmas by Starlight	2020	TV-G	84	7.2	1898	TRUE	G
Christmas with the Darlings	2020	TV-G	84	7.1	1508	TRUE	G
Love You Like Christmas	2016	TV-G	90	6.4	1952	TRUE	G
Mistletoe & Menorahs	2019	TV-PG	85	6.4	885	FALSE	PG
A Heavenly Christmas	2016	TV-G	93	6.4	1940	TRUE	G
Christmas Getaway	2017	TV-G	90	7	3184	TRUE	G
Christmas Cupid	2010	PG-13	85	5.4	3896	TRUE	PG
Christmas in Evergreen: Tidings of Joy	2019	TV-G	85	6.4	1560	TRUE	G
Christmas with a Prince: Becoming Royal	2019	TV-G	93	5.8	593	FALSE	G
Ghosts of Christmas Past	2021	AL	87	6.3	533	FALSE	Other
Thomas Kinkade's Christmas Cottage	2008	PG	96	6.3	2685	TRUE	PG
Christmas Eve	2015	PG	95	5	2727	TRUE	PG
Christmas in Vienna	2020	TV-G	83	6.4	1457	TRUE	G
Toying with the Holidays	2021	TV-PG	86	6.3	546	FALSE	PG
Cross Country Christmas	2020	TV-G	83	6.6	1667	TRUE	G
A Godwink Christmas: Second Chance, First Love	2020	TV-G	85	6.7	1114	FALSE	G
The Christmas Contract	2018	TV-PG	89	6.8	2669	TRUE	PG
Christmas in Evergreen: Letters to Santa	2018	TV-G	84	6.6	1900	TRUE	G
A Christmas Star	2021	7+	84	6.5	727	FALSE	Other
Christmas on My Mind	2019	AL	84	6.4	1487	TRUE	Other
Christmas in Tune	2021	TV-PG	87	7	629	FALSE	PG
Swept Up by Christmas	2019	TV-G	84	6.2	859	FALSE	G
Christmas Sweethearts	2019	TV-G	90	5.1	460	FALSE	G
On the 12th Date of Christmas	2020	TV-G	84	7.2	2003	TRUE	G
Snowglobe	2007	TV-PG	86	5.9	2633	TRUE	PG
My Favorite Christmas Tree	2022	AL	90	6.1	241	FALSE	Other
My Christmas Fiancé	2022	NA	92	4.6	166	FALSE	Other
Candy Coated Christmas	2021	NA	83	5.8	445	FALSE	Other
Christmas Time Is Here	2021	AL	85	5.4	505	FALSE	Other
Just Another Christmas	2020	6	100	6.7	4867	TRUE	Other
The Nine Kittens of Christmas	2021	TV-G	84	6.6	1511	TRUE	G
Christmas Bells Are Ringing	2018	TV-G	88	6.4	1536	TRUE	G
Double Holiday	2019	TV-G	84	6.8	1352	TRUE	G
Elf: Buddy's Musical Christmas	2013	TV-G	43	5.4	1145	FALSE	G
A Gift Wrapped Christmas	2015	TV-PG	87	7	1764	TRUE	PG
A Christmas Detour	2015	TV-G	85	6.1	3194	TRUE	G
If I Only Had Christmas	2020	TV-G	84	6.3	1518	TRUE	G
Santa's Boots	2018	TV-PG	85	6.2	655	FALSE	PG
Christmas on the Range	2019	TV-G	90	6.2	564	FALSE	G
Christmas Wonderland	2018	TV-G	120	5.9	3270	TRUE	G
A December Bride	2016	TV-G	86	6.7	3351	TRUE	G
Christmas in Angel Falls	2017	TV-G	84	6.5	1562	TRUE	G
Christmas for a Dollar	2013	PG	101	6.9	634	FALSE	PG
Chateau Christmas	2020	TV-G	84	6.4	1610	TRUE	G
Christmas in Wonderland	2006	PG	95	4.7	2370	TRUE	PG
Secretly Santa	2021	AL	85	5.3	404	FALSE	Other
The Nine Lives of Christmas	2014	TV-G	86	7.1	4162	TRUE	G
One Delicious Christmas	2022	NA	84	6.2	112	FALSE	Other
A Christmas Carousel	2020	TV-G	85	6	1056	FALSE	G
Lost at Christmas	2020	NA	100	5.1	561	FALSE	Other
Just in Time for Christmas	2015	TV-G	96	6.4	2668	TRUE	G
Home by Christmas	2006	TV-14	95	6.3	872	FALSE	Other
The Tree That Saved Christmas	2014	TV-G	88	6.1	1110	FALSE	G
Unlocking Christmas	2020	TV-G	85	6.4	1169	FALSE	G
Christmas Tree Lane	2020	TV-G	84	6.5	1180	FALSE	G
Homegrown Christmas	2018	TV-G	88	5.9	1075	FALSE	G
A Gift for Christmas	2017	TV-G	89	6.6	2308	TRUE	G
A Golden Christmas	2009	TV-PG	95	5.5	1324	TRUE	PG
Christmas Movie Magic	2021	AL	87	6.2	550	FALSE	Other
Time for Us to Come Home for Christmas	2020	TV-G	84	7	1377	TRUE	G
Eve's Christmas	2004	TV-PG	96	5.9	1155	FALSE	PG
The Christmas Club	2019	TV-G	84	6.7	1395	TRUE	G
Snow Bride	2013	TV-G	84	6.7	3495	TRUE	G
A Snow Globe Christmas	2013	TV-PG	89	5.4	1195	FALSE	PG
Trading Christmas	2010	G	87	6.9	1713	TRUE	G
A Very Nutty Christmas	2018	TV-PG	90	5.9	1378	TRUE	PG
A Dog Named Christmas	2009	PG	95	7.4	1278	TRUE	PG
Christmas Break-In	2018	NA	87	4.5	1640	TRUE	Other
Christmas at Graceland: Home for the Holidays	2019	TV-G	84	6.3	1040	FALSE	G
'Twas the Night	2001	TV-G	84	5.2	1116	FALSE	G
Christmas on Mistletoe Lake	2022	TV-PG	87	5.4	248	FALSE	PG
